词,C3,C3_zh,C2,C1,词长
想入非非,criticize,批判指责,disgust,negative,4
惺惺作态,criticize,批判指责,disgust,negative,4
意在言外,criticize,批判指责,disgust,negative,4
意气用事,criticize,批判指责,disgust,negative,4
愚不可及,criticize,批判指责,disgust,negative,4
愚昧无知,criticize,批判指责,disgust,negative,4
愚民政策,criticize,批判指责,disgust,negative,4
感觉不到,criticize,批判指责,disgust,negative,4
我行我素,criticize,批判指责,disgust,negative,4
才华毕露,criticize,批判指责,disgust,negative,4
才疏学浅,criticize,批判指责,disgust,negative,4
打家劫舍,criticize,批判指责,disgust,negative,4
托古讽今,criticize,批判指责,disgust,negative,4
执迷不悟,criticize,批判指责,disgust,negative,4
投其所好,criticize,批判指责,disgust,negative,4
拐弯抹角,criticize,批判指责,disgust,negative,4
拖泥带水,criticize,批判指责,disgust,negative,4
招摇撞骗,criticize,批判指责,disgust,negative,4
招摇过市,criticize,批判指责,disgust,negative,4
招灾惹祸,criticize,批判指责,disgust,negative,4
拱手相让,criticize,批判指责,disgust,negative,4
挂一漏万,criticize,批判指责,disgust,negative,4
指桑骂槐,criticize,批判指责,disgust,negative,4
捉摸不定,criticize,批判指责,disgust,negative,4
据为己有,criticize,批判指责,disgust,negative,4
排斥异己,criticize,批判指责,disgust,negative,4
掩口而笑,criticize,批判指责,disgust,negative,4
搔首弄姿,criticize,批判指责,disgust,negative,4
摇尾乞怜,criticize,批判指责,disgust,negative,4
摧眉折腰,criticize,批判指责,disgust,negative,4
擦脂抹粉,criticize,批判指责,disgust,negative,4
攀龙附凤,criticize,批判指责,disgust,negative,4
放浪形骸,criticize,批判指责,disgust,negative,4
放浪江湖,criticize,批判指责,disgust,negative,4
放纵不羁,criticize,批判指责,disgust,negative,4
放荡不羁,criticize,批判指责,disgust,negative,4
放荡形骸,criticize,批判指责,disgust,negative,4
故弄玄虚,criticize,批判指责,disgust,negative,4
故态复还,criticize,批判指责,disgust,negative,4
敬而远之,criticize,批判指责,disgust,negative,4
敲榨勒索,criticize,批判指责,disgust,negative,4
敲诈勒索,criticize,批判指责,disgust,negative,4
敲骨吸髓,criticize,批判指责,disgust,negative,4
敷衍塞责,criticize,批判指责,disgust,negative,4
文恬武嬉,criticize,批判指责,disgust,negative,4
文过饰非,criticize,批判指责,disgust,negative,4
斗鸡走狗,criticize,批判指责,disgust,negative,4
斤斤计较,criticize,批判指责,disgust,negative,4
断章取义,criticize,批判指责,disgust,negative,4
旁若无人,criticize,批判指责,disgust,negative,4
无人理睬,criticize,批判指责,disgust,negative,4
无人过问,criticize,批判指责,disgust,negative,4
无依无傍,criticize,批判指责,disgust,negative,4
无关宏旨,criticize,批判指责,disgust,negative,4
无关紧要,criticize,批判指责,disgust,negative,4
无关重要,criticize,批判指责,disgust,negative,4
无功受禄,criticize,批判指责,disgust,negative,4
无动于衷,criticize,批判指责,disgust,negative,4
无可作为,criticize,批判指责,disgust,negative,4
无孔不入,criticize,批判指责,disgust,negative,4
无所不至,criticize,批判指责,disgust,negative,4
无所事事,criticize,批判指责,disgust,negative,4
无所作为,criticize,批判指责,disgust,negative,4
无所可否,criticize,批判指责,disgust,negative,4
无所忌惮,criticize,批判指责,disgust,negative,4
无所遁形,criticize,批判指责,disgust,negative,4
无所顾忌,criticize,批判指责,disgust,negative,4
无法承受,criticize,批判指责,disgust,negative,4
无法无天,criticize,批判指责,disgust,negative,4
